Date,Temp. [°C],Relative humidity [%],Rain [mm],Wind Speed [km/h],Wind Gusts [km/h],Solar Radiation [W/m²],Solar Irradiance [W/m²]
2015-01-01 00:00:00,-6.1,75,0.0,0.8,25.6,0.0,0.0
2015-01-01 01:00:00,-4.6,93,0.0,10.3,55.4,0.0,0.0
2015-01-01 02:00:00,-5.0,93,0.0,10.3,54.0,0.0,0.0
2015-01-01 03:00:00,-5.3,93,0.0,10.3,51.1,0.0,0.0
2015-01-01 04:00:00,-5.5,91,0.0,10.0,49.3,0.0,0.0
2015-01-01 05:00:00,-5.9,88,0.0,9.4,48.2,0.0,0.0
2015-01-01 06:00:00,-6.1,86,0.0,8.4,46.8,0.0,0.0
2015-01-01 07:00:00,-5.8,90,0.0,7.8,43.2,1.0,8.0
2015-01-01 08:00:00,-5.2,87,0.0,9.0,43.9,11.0,44.5
2015-01-01 09:00:00,-4.4,82,0.0,9.0,45.4,56.0,153.9
2015-01-01 10:00:00,-3.8,80,0.0,10.1,45.7,122.0,277.9
2015-01-01 11:00:00,-3.3,76,0.0,10.0,43.2,173.0,370.1
2015-01-01 12:00:00,-3.1,75,0.0,10.2,41.8,110.0,245.9
2015-01-01 13:00:00,-3.1,74,0.0,9.3,39.6,47.0,123.7
2015-01-01 14:00:00,-3.4,76,0.0,8.0,36.4,70.0,259.3
2015-01-01 15:00:00,-3.9,77,0.0,6.1,34.2,20.0,143.8
2015-01-01 16:00:00,-4.5,77,0.0,2.8,32.0,0.0,0.0
2015-01-01 17:00:00,-4.6,74,0.0,2.1,29.9,0.0,0.0
2015-01-01 18:00:00,-5.1,73,0.0,2.1,28.4,0.0,0.0
2015-01-01 19:00:00,-5.5,80,0.0,1.9,29.5,0.0,0.0
2015-01-01 20:00:00,-5.7,78,0.0,1.8,29.5,0.0,0.0
2015-01-01 21:00:00,-5.7,78,0.0,2.2,29.2,0.0,0.0
2015-01-01 22:00:00,-5.8,77,0.0,1.3,28.1,0.0,0.0
2015-01-01 23:00:00,-5.9,76,0.0,1.1,27.0,0.0,0.0
2015-01-02 00:00:00,-6.1,75,0.0,0.8,25.6,0.0,0.0
2015-01-02 01:00:00,-6.4,74,0.0,1.0,23.8,0.0,0.0
2015-01-02 02:00:00,-6.7,74,0.0,1.0,22.3,0.0,0.0
2015-01-02 03:00:00,-6.9,73,0.0,0.8,21.6,0.0,0.0
2015-01-02 04:00:00,-7.3,72,0.0,0.8,21.6,0.0,0.0
2015-01-02 05:00:00,-7.5,70,0.0,1.8,22.3,0.0,0.0
2015-01-02 06:00:00,-7.8,68,0.0,2.0,23.4,0.0,0.0
2015-01-02 07:00:00,-9.9,81,0.0,0.8,26.3,33.0,262.4
2015-01-02 08:00:00,-8.3,72,0.0,0.8,22.7,124.0,501.1
2015-01-02 09:00:00,-5.2,60,0.0,1.3,24.1,237.0,650.3
2015-01-02 10:00:00,-4.0,53,0.0,2.6,24.5,376.0,854.7
2015-01-02 11:00:00,-3.3,55,0.0,5.0,24.5,413.0,881.1
2015-01-02 12:00:00,-2.5,52,0.0,5.2,24.1,391.0,870.9
2015-01-02 13:00:00,-2.5,52,0.0,5.5,23.4,314.0,822.2
2015-01-02 14:00:00,-1.7,43,0.0,3.4,22.7,193.0,709.1
2015-01-02 15:00:00,-2.6,46,0.0,2.3,22.3,62.0,441.9
2015-01-02 16:00:00,-3.8,47,0.0,0.8,24.5,1.0,16.9
2015-01-02 17:00:00,-5.0,46,0.0,0.8,25.6,0.0,0.0
2015-01-02 18:00:00,-6.6,47,0.0,0.8,24.8,0.0,0.0
2015-01-02 19:00:00,-7.6,52,0.0,1.3,22.7,0.0,0.0
2015-01-02 20:00:00,-8.3,52,0.0,1.9,22.3,0.0,0.0
2015-01-02 21:00:00,-8.7,51,0.0,2.5,21.6,0.0,0.0
2015-01-02 22:00:00,-9.1,51,0.0,4.5,20.5,0.0,0.0
2015-01-02 23:00:00,-9.5,53,0.0,4.6,19.4,0.0,0.0
2015-01-03 00:00:00,-10.7,58,0.0,4.2,18.0,0.0,0.0
2015-01-03 01:00:00,-12.0,65,0.0,4.2,16.6,0.0,0.0
2015-01-03 02:00:00,-12.6,70,0.0,4.1,16.2,0.0,0.0
2015-01-03 03:00:00,-13.0,76,0.0,3.8,17.3,0.0,0.0
2015-01-03 04:00:00,-12.9,81,0.0,4.1,19.1,0.0,0.0
2015-01-03 05:00:00,-12.4,80,0.0,4.1,19.8,0.0,0.0
2015-01-03 06:00:00,-12.0,81,0.0,4.1,20.2,0.0,0.0
2015-01-03 07:00:00,-8.4,80,0.0,4.4,20.2,27.0,214.7
2015-01-03 08:00:00,-2.5,74,0.0,4.6,19.1,72.0,290.6
2015-01-03 09:00:00,3.7,65,0.0,4.1,19.1,48.0,131.5
2015-01-03 10:00:00,6.8,55,0.0,3.4,22.0,81.0,183.7
2015-01-03 11:00:00,6.2,65,0.0,5.1,24.8,277.0,589.2
2015-01-03 12:00:00,6.2,68,0.0,6.1,26.6,287.0,636.8
2015-01-03 13:00:00,7.2,64,0.0,5.4,28.4,244.0,635.5
2015-01-03 14:00:00,8.4,59,0.0,1.8,27.7,156.0,568.4
2015-01-03 15:00:00,7.4,62,0.0,1.1,23.8,54.0,381.5
2015-01-03 16:00:00,6.3,65,0.0,1.5,20.9,1.0,16.6
2015-01-03 17:00:00,5.2,67,0.0,2.6,19.1,0.0,0.0
2015-01-03 18:00:00,2.9,74,0.0,4.2,16.9,0.0,0.0
2015-01-03 19:00:00,-0.7,83,0.0,4.7,13.3,0.0,0.0
2015-01-03 20:00:00,-3.2,88,0.0,5.5,15.1,0.0,0.0
2015-01-03 21:00:00,-4.9,89,0.0,6.5,20.9,0.0,0.0
2015-01-03 22:00:00,-5.7,89,0.0,8.0,27.0,0.0,0.0
2015-01-03 23:00:00,-5.9,88,0.0,9.5,32.0,0.0,0.0
2015-01-04 00:00:00,-5.5,87,0.0,10.2,34.6,0.0,0.0
2015-01-04 01:00:00,-5.0,87,0.0,10.2,36.4,0.0,0.0
2015-01-04 02:00:00,-4.5,87,0.0,8.9,38.9,0.0,0.0
2015-01-04 03:00:00,-4.1,88,0.0,8.4,40.3,0.0,0.0
2015-01-04 04:00:00,-2.3,88,0.0,9.4,42.1,0.0,0.0
2015-01-04 05:00:00,-0.4,88,0.0,9.5,42.8,0.0,0.0
2015-01-04 06:00:00,1.0,89,0.0,9.2,43.2,0.0,0.0
2015-01-04 07:00:00,2.2,90,0.0,9.4,42.1,1.0,7.9
2015-01-04 08:00:00,3.1,92,0.0,9.7,42.8,12.0,48.4
2015-01-04 09:00:00,3.7,92,0.0,9.4,43.2,98.0,267.9
2015-01-04 10:00:00,4.6,92,0.0,10.5,43.9,148.0,334.8
2015-01-04 11:00:00,5.5,90,0.0,10.5,42.8,149.0,315.9
2015-01-04 12:00:00,5.8,90,0.0,10.1,41.8,140.0,309.3
2015-01-04 13:00:00,6.2,90,0.0,8.7,37.8,113.0,292.6
2015-01-04 14:00:00,6.1,91,0.0,7.0,33.1,67.0,242.0
2015-01-04 15:00:00,5.4,93,0.0,7.7,27.4,19.0,133.0
2015-01-04 16:00:00,4.7,95,0.0,8.1,23.0,0.0,0.0
2015-01-04 17:00:00,4.4,97,0.0,6.1,21.6,0.0,0.0
2015-01-04 18:00:00,3.8,98,0.0,4.1,18.4,0.0,0.0
2015-01-04 19:00:00,5.5,97,0.3,2.0,16.9,0.0,0.0
2015-01-04 20:00:00,4.8,98,0.5,5.5,15.5,0.0,0.0
2015-01-04 21:00:00,3.2,99,0.6,7.4,24.5,0.0,0.0
2015-01-04 22:00:00,2.6,98,0.6,6.4,28.8,0.0,0.0
2015-01-04 23:00:00,2.1,96,0.6,8.0,30.2,0.0,0.0
2015-01-05 00:00:00,1.4,95,0.2,7.8,28.4,0.0,0.0
2015-01-05 01:00:00,0.8,91,0.1,6.8,29.2,0.0,0.0
2015-01-05 02:00:00,0.1,88,0.0,7.1,29.5,0.0,0.0
2015-01-05 03:00:00,-0.6,86,0.0,7.7,30.6,0.0,0.0
2015-01-05 04:00:00,-1.7,83,0.0,7.6,31.3,0.0,0.0
2015-01-05 05:00:00,-2.1,77,0.0,7.6,31.7,0.0,0.0
2015-01-05 06:00:00,-1.9,69,0.0,7.5,31.3,0.0,0.0
2015-01-05 07:00:00,-2.4,77,0.0,6.6,36.7,13.0,103.2
2015-01-05 08:00:00,-3.0,74,0.0,8.1,37.1,77.0,309.8
2015-01-05 09:00:00,-1.1,66,0.0,10.2,40.0,201.0,548.2
2015-01-05 10:00:00,-0.3,59,0.0,12.6,43.9,299.0,674.4
2015-01-05 11:00:00,0.1,54,0.0,15.7,47.9,386.0,815.5
2015-01-05 12:00:00,0.2,51,0.0,15.6,50.0,336.0,739.1
2015-01-05 13:00:00,0.1,51,0.0,14.7,49.3,286.0,736.3
2015-01-05 14:00:00,-0.3,51,0.0,13.2,45.7,183.0,655.1
2015-01-05 15:00:00,-1.5,56,0.0,10.3,44.3,54.0,374.5
2015-01-05 16:00:00,-2.4,55,0.0,9.7,38.9,1.0,15.9
2015-01-05 17:00:00,-3.8,58,0.0,9.8,39.6,0.0,0.0
2015-01-05 18:00:00,-3.6,53,0.0,9.6,40.3,0.0,0.0
